Year,Geothermal,Hydropower,Solar,Wind,Total
1960,0,38808,0,0,718673
1961,0,35838,0,0,731253
1962,0,35991,0,0,764170
1963,0,33914,0,0,808754
1964,0,33773,0,0,860511
1965,0,32758,0,0,887697
1966,0,33138,0,0,935056
1967,0,35786,0,0,930444
1968,0,35173,0,0,1017121
1969,0,34218,0,0,1048451
1970,0,34040,0,0,1052953
1971,0,33746,0,0,1073744
1972,0,34423,0,0,1147092
1973,0,34771,0,0,1199625
1974,0,33202,0,0,1192276
1975,0,32321,0,0,1095590
1976,0,33372,0,0,1253250
1977,0,32601,0,0,1313845
1978,0,31561,0,0,1431980
1979,0,34094,0,0,1438957
1980,0,32838,0,0,1632838
1981,0,33043,0,0,1635042
1982,0,33046,0,0,1549045
1983,0,33253,0,0,1723253
1984,0,32999,0,0,1711997
1985,0,33024,0,0,1678022
1986,0,33021,0,0,1643022
1987,0,32934,0,0,1608933
1988,0,32637,0,0,1657636
1989,1799,28395,35,0,1613787
1990,1936,30947,38,0,1474832
1991,2089,29676,44,0,1441658
1992,2241,30508,48,0,1494023
1993,2374,29594,52,0,1516366
1994,2753,62187,57,0,1644764
1995,2959,54694,67,0,1709798
1996,2887,60772,79,0,1747235
1997,3077,58060,88,0,1791837
1998,3008,54539,98,0,1661088
1999,4255,48658,114,0,1672544
2000,4437,42183,130,0,1682676
2001,4762,32499,158,0,1480062
2002,4789,38909,186,0,1440318
2003,3402,42753,218,0,1409689
2004,3800,32537,267,0,1512345
2005,4301,31952,402,0,1488383
2006,4400,28755,583,0,1506134
2007,4700,15715,821,0,1434259
2008,5000,16515,1313,0,1361561
2009,4200,18235,1748,0,1202553
2010,4202,16270,2689,0,1432161
2011,4202,17477,4411,48,1463774
2012,4200,22393,7196,182,1496215
2013,4200,33041,8665,355,1535272
2014,4200,12191,10993,502,1522885
2015,4200,13135,13723,497,1507442
2016,4200,11718,19268,652,1509614
2017,4200,12735,22166,778,1482201
2018,4200,10461,24425,880,1471967
2019,4200,9202,27842,888,1449114
